"filename", "language", "MS SQL", "HTML", "JavaScript", "PHP", "JSON", "Docker", "PostCSS", "YAML", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\Proyecto\BackEnd\APIBackOffice\APIBackOffice.php", "PHP", 0, 0, 0, 494, 0, 0, 0, 0, 0, 4, 72, 570
"c:\xampp\htdocs\Proyecto\BackEnd\APIBackOffice\RepositorioBackOffice.php", "PHP", 0, 0, 0, 1022, 0, 0, 0, 0, 0, 18, 165, 1205
"c:\xampp\htdocs\Proyecto\BackEnd\APIBackOffice\ServicioBackOffice.php", "PHP", 0, 0, 0, 466, 0, 0, 0, 0, 0, 21, 88, 575
"c:\xampp\htdocs\Proyecto\BackEnd\APICooperativa\APICooperativa.php", "PHP", 0, 0, 0, 309, 0, 0, 0, 0, 0, 15, 55, 379
"c:\xampp\htdocs\Proyecto\BackEnd\APICooperativa\Modelos\ComprobantePago.php", "PHP", 0, 0, 0, 73, 0, 0, 0, 0, 0, 3, 17, 93
"c:\xampp\htdocs\Proyecto\BackEnd\APICooperativa\Modelos\UnidadHabitacional.php", "PHP", 0, 0, 0, 63, 0, 0, 0, 0, 0, 3, 15, 81
"c:\xampp\htdocs\Proyecto\BackEnd\APICooperativa\RepositorioCooperativa.php", "PHP", 0, 0, 0, 357, 0, 0, 0, 0, 0, 5, 46, 408
"c:\xampp\htdocs\Proyecto\BackEnd\APICooperativa\ServicioCooperativa.php", "PHP", 0, 0, 0, 244, 0, 0, 0, 0, 0, 7, 47, 298
"c:\xampp\htdocs\Proyecto\BackEnd\APIFetchs\APIBackOffice.js", "JavaScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 5, 23, 143
"c:\xampp\htdocs\Proyecto\BackEnd\APIFetchs\APICooperativa.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 5, 4, 56
"c:\xampp\htdocs\Proyecto\BackEnd\APIFetchs\APITraduccion.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 5, 48
"c:\xampp\htdocs\Proyecto\BackEnd\APIFetchs\APIUsuario.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 6, 42
"c:\xampp\htdocs\Proyecto\BackEnd\APIFetchs\apiConfig.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 9, 7, 37
"c:\xampp\htdocs\Proyecto\BackEnd\APIFetchs\usuarioApi.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\Proyecto\BackEnd\APITraduccion\APITraduccion.php", "PHP", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 12, 70
"c:\xampp\htdocs\Proyecto\BackEnd\APITraduccion\RepositorioTraduccion.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 5, 28
"c:\xampp\htdocs\Proyecto\BackEnd\APITraduccion\ServicioTraduccion.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"c:\xampp\htdocs\Proyecto\BackEnd\APITraduccion\Traduccion.php", "PHP", 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 9, 50
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\ApiUsuarios.php", "PHP", 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 31, 257
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\Modelos\Admin.php", "PHP", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\Modelos\Interesado.php", "PHP", 0, 0, 0, 99, 0, 0, 0, 0, 0, 2, 21, 122
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\Modelos\Persona.php", "PHP", 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 15, 86
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\Modelos\Usuario.php", "PHP", 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 9, 62
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\RepositorioPersona.php", "PHP", 0, 0, 0, 231, 0, 0, 0, 0, 0, 4, 40, 275
"c:\xampp\htdocs\Proyecto\BackEnd\APIUsuarios\ServicioPersona.php", "PHP", 0, 0, 0, 129, 0, 0, 0, 0, 0, 5, 39, 173
"c:\xampp\htdocs\Proyecto\BackEnd\BDConeccion.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\Proyecto\BackEnd\Consultas.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 3, 25
"c:\xampp\htdocs\Proyecto\BackEnd\Tokens.php", "PHP", 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 13, 69
"c:\xampp\htdocs\Proyecto\Dockerfile", "Docker", 0, 0, 0, 0, 0, 10, 0, 0, 0, 5, 8, 23
"c:\xampp\htdocs\Proyecto\cooperativa.sql", "MS SQL", 308, 0, 0, 0, 0, 0, 0, 0, 0, 193, 97, 598
"c:\xampp\htdocs\Proyecto\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"c:\xampp\htdocs\Proyecto\front\Admin\borrarAdmin.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Proyecto\front\Admin\configuracion.php", "PHP", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 10, 175
"c:\xampp\htdocs\Proyecto\front\Admin\confirmarPagos.php", "PHP", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 18, 215
"c:\xampp\htdocs\Proyecto\front\Admin\crearAdmin.php", "PHP", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 38, 214
"c:\xampp\htdocs\Proyecto\front\Admin\crearUnidad.php", "PHP", 0, 0, 0, 193, 0, 0, 0, 0, 0, 5, 18, 216
"c:\xampp\htdocs\Proyecto\front\Admin\faltas.php", "PHP", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 13, 150
"c:\xampp\htdocs\Proyecto\front\Admin\index.php", "PHP", 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 21, 266
"c:\xampp\htdocs\Proyecto\front\Admin\pagos.php", "PHP", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 19, 193
"c:\xampp\htdocs\Proyecto\front\Admin\proyecto-prueba.php", "PHP", 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 25, 274
"c:\xampp\htdocs\Proyecto\front\Admin\reuniones.php", "PHP", 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 26, 311
"c:\xampp\htdocs\Proyecto\front\Admin\socios.php", "PHP", 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 17, 240
"c:\xampp\htdocs\Proyecto\front\Admin\solicitudes.php", "PHP", 0, 0, 0, 245, 0, 0, 0, 0, 0, 12, 28, 285
"c:\xampp\htdocs\Proyecto\front\Admin\unidades.php", "PHP", 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 25, 274
"c:\xampp\htdocs\Proyecto\front\Css\backoffice.css", "PostCSS", 0, 0, 0, 0, 0, 0, 302, 0, 0, 4, 51, 357
"c:\xampp\htdocs\Proyecto\front\Css\crearUnidad.css", "PostCSS", 0, 0, 0, 0, 0, 0, 397, 0, 0, 6, 66, 469
"c:\xampp\htdocs\Proyecto\front\Css\estilosAdmin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 494, 0, 0, 14, 92, 600
"c:\xampp\htdocs\Proyecto\front\Css\estilosConfiguracion.css", "PostCSS", 0, 0, 0, 0, 0, 0, 579, 0, 0, 4, 103, 686
"c:\xampp\htdocs\Proyecto\front\Css\estilosConfiguracionAdmin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 579, 0, 0, 4, 103, 686
"c:\xampp\htdocs\Proyecto\front\Css\estilosConfirmar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 638, 0, 0, 17, 114, 769
"c:\xampp\htdocs\Proyecto\front\Css\estilosConstruccion.css", "PostCSS", 0, 0, 0, 0, 0, 0, 328, 0, 0, 10, 63, 401
"c:\xampp\htdocs\Proyecto\front\Css\estilosFaltas.css", "PostCSS", 0, 0, 0, 0, 0, 0, 702, 0, 0, 14, 124, 840
"c:\xampp\htdocs\Proyecto\front\Css\estilosHoras.css", "PostCSS", 0, 0, 0, 0, 0, 0, 818, 0, 0, 16, 144, 978
"c:\xampp\htdocs\Proyecto\front\Css\estilosInteresado.css", "PostCSS", 0, 0, 0, 0, 0, 0, 762, 0, 0, 15, 127, 904
"c:\xampp\htdocs\Proyecto\front\Css\estilosLandingPage.css", "PostCSS", 0, 0, 0, 0, 0, 0, 722, 0, 0, 18, 130, 870
"c:\xampp\htdocs\Proyecto\front\Css\estilosLogin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 361, 0, 0, 14, 68, 443
"c:\xampp\htdocs\Proyecto\front\Css\estilosPagosAdmin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 610, 0, 0, 2, 108, 720
"c:\xampp\htdocs\Proyecto\front\Css\estilosPagosUsuario.css", "PostCSS", 0, 0, 0, 0, 0, 0, 727, 0, 0, 16, 128, 871
"c:\xampp\htdocs\Proyecto\front\Css\estilosProyectos-prueba.css", "PostCSS", 0, 0, 0, 0, 0, 0, 980, 0, 0, 58, 172, 1210
"c:\xampp\htdocs\Proyecto\front\Css\estilosRegistro.css", "PostCSS", 0, 0, 0, 0, 0, 0, 372, 0, 0, 11, 74, 457
"c:\xampp\htdocs\Proyecto\front\Css\estilosReuniones.css", "PostCSS", 0, 0, 0, 0, 0, 0, 681, 0, 0, 20, 126, 827
